 (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.000000000000001110e-01+0.000000000000000000e+00j)  (1.414213562373094923e+00+0.000000000000000000e+00j)
 (1.000000000000000000e+00+0.000000000000000000e+00j)  (-9.161468390327618394e-01+0.000000000000000000e+00j)  (-3.181179416882343736e-01-2.168404344971008868e-18j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)  (-1.153643647181802789e+00+0.000000000000000000e+00j)  (3.845044767306429745e-01-4.106415728288848044e-18j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)  (4.601701926319737845e-01+0.000000000000000000e+00j)  (-1.344531249427558528e+00+3.740497495074990297e-18j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)  (-6.454999679559314529e-01+0.000000000000000000e+00j)  (1.352306864976123846e-01-3.740497495074990297e-18j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)  (-1.339071596239788331e+00+0.000000000000000000e+00j)  (-3.363825347601446802e-01+4.689174395999806677e-18j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)  (3.438538898369714603e-01+0.000000000000000000e+00j)  (1.146730867584285329e+00-1.387778780781445676e-17j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)  (-3.632626616563022770e-01+0.000000000000000000e+00j)  (1.443074878139678496e-01-1.376936759056590631e-17j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)  (-1.457659521665782831e+00+0.000000000000000000e+00j)  (1.969606579454578066e-01+1.328147661294742932e-18j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)  (1.603165157940183716e-01+0.000000000000000000e+00j)  (-8.525801743567354984e-01-5.637851296924623057e-18j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)  (-9.191779749710651815e-02+0.000000000000000000e+00j)  (-4.820732019018911241e-01+3.252606517456513302e-18j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)  (-1.499960828520162215e+00+0.000000000000000000e+00j)  (-6.258330265323905524e-03-8.470329472543003391e-22j)
