 (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.237114317075738171e-17+0.000000000000000000e+00j)  (9.999999999999997780e-01+0.000000000000000000e+00j)
 (1.000000000000000000e+00+0.000000000000000000e+00j)  (-9.966720938468721230e-03+0.000000000000000000e+00j)  (9.751307673489185701e-01+2.927345865710861972e-18j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)  (-3.946954077523213977e-02+0.000000000000000000e+00j)  (9.025483420034935422e-01+3.848917712323540741e-18j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)  (-8.733227154903386302e-02+0.000000000000000000e+00j)  (7.881493886716482988e-01+1.864827736675067626e-17j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)  (-1.516467716940267940e-01+0.000000000000000000e+00j)  (6.411805091705953252e-01-1.517883041479706208e-18j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)  (-2.298490183624834204e-01+0.000000000000000000e+00j)  (4.734210673152501325e-01+3.794707603699265519e-19j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)  (-3.188213278546438989e-01+0.000000000000000000e+00j)  (2.981432869227802485e-01+9.649399335120989463e-18j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)  (-4.150166488558836853e-01+0.000000000000000000e+00j)  (1.289424997481669055e-01-1.626303258728256651e-17j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)  (-5.145999731972208391e-01+0.000000000000000000e+00j)  (-2.145800226861266369e-02+1.170938346284344789e-17j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)  (-6.136012264324022247e-01+0.000000000000000000e+00j)  (-1.423208196979448559e-01-3.903127820947815962e-18j)
