 (0.000000000000000000e+00+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.999999999999997780e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j)  (-2.999600021334192495e-04+0.000000000000000000e+00j)  (9.980507586272062692e-01+0.000000000000000000e+00j)
 (2.000000000000000111e-01+0.000000000000000000e+00j)  (-1.199360136517725953e-03+0.000000000000000000e+00j)  (9.922121321432787466e-01+0.000000000000000000e+00j)
 (3.000000000000000444e-01+0.000000000000000000e+00j)  (-2.696761554800128358e-03+0.000000000000000000e+00j)  (9.825113692961098266e-01+0.000000000000000000e+00j)
 (4.000000000000000222e-01+0.000000000000000000e+00j)  (-4.789768734140071454e-03+0.000000000000000000e+00j)  (9.689937376965446214e-01+0.000000000000000000e+00j)
 (5.000000000000000000e-01+0.000000000000000000e+00j)  (-7.475033309534341586e-03+0.000000000000000000e+00j)  (9.517223041195446154e-01+0.000000000000000000e+00j)
 (6.000000000000000888e-01+0.000000000000000000e+00j)  (-1.074825943048880739e-02+0.000000000000000000e+00j)  (9.307776284312613280e-01+0.000000000000000000e+00j)
 (7.000000000000000666e-01+0.000000000000000000e+00j)  (-1.460421063346097059e-02+0.000000000000000000e+00j)  (9.062573726386280448e-01+0.000000000000000000e+00j)
 (8.000000000000000444e-01+0.000000000000000000e+00j)  (-1.903671821908468897e-02+0.000000000000000000e+00j)  (8.782758269730692735e-01+0.000000000000000000e+00j)
 (9.000000000000000222e-01+0.000000000000000000e+00j)  (-2.403869112077441916e-02+0.000000000000000000e+00j)  (8.469633553255864200e-01+0.000000000000000000e+00j)
 (1.000000000000000000e+00+0.000000000000000000e+00j)  (-2.960212724891808644e-02+0.000000000000000000e+00j)  (8.124657627447677832e-01+0.000000000000000000e+00j)
 (1.100000000000000089e+00+0.000000000000000000e+00j)  (-3.571812629251366888e-02+0.000000000000000000e+00j)  (7.749435880903040585e-01+0.000000000000000000e+00j)
 (1.200000000000000178e+00+0.000000000000000000e+00j)  (-4.237690395776844143e-02+0.000000000000000000e+00j)  (7.345713253004647614e-01+0.000000000000000000e+00j)
 (1.300000000000000044e+00+0.000000000000000000e+00j)  (-4.956780762088119907e-02+0.000000000000000000e+00j)  (6.915365770809367429e-01+0.000000000000000000e+00j)
 (1.400000000000000133e+00+0.000000000000000000e+00j)  (-5.727933336996887670e-02+0.000000000000000000e+00j)  (6.460391451527398576e-01+0.000000000000000000e+00j)
