1.000000000000000056e-01,2.628935606908693323e-01,0.000000000000000000e+00,2.301313346052731579e-01,0.000000000000000000e+00,2.947925492489866239e-01,0.000000000000000000e+00,6.228117809561566770e-02,0.000000000000000000e+00,4.100729906054275536e-02,0.000000000000000000e+00
8.333333426666666567e+07,2.626230027416031620e-01,0.000000000000000000e+00,1.571487469236417800e-01,0.000000000000000000e+00,1.571487469236417800e-01,0.000000000000000000e+00,1.571487469236418355e-01,0.000000000000000000e+00,1.571487469236417800e-01,0.000000000000000000e+00
1.666666684333333373e+08,2.623551368869324607e-01,0.000000000000000000e+00,1.572434518163733363e-01,0.000000000000000000e+00,1.572434518163733363e-01,0.000000000000000000e+00,1.572434518163733363e-01,0.000000000000000000e+00,1.572434518163733363e-01,0.000000000000000000e+00
2.500000025999999940e+08,2.620899363174290508e-01,0.000000000000000000e+00,1.573372143781063270e-01,0.000000000000000000e+00,1.573372143781063826e-01,0.000000000000000000e+00,1.573372143781063826e-01,0.000000000000000000e+00,1.573372143781063548e-01,0.000000000000000000e+00
3.333333367666667104e+08,2.618273745843000544e-01,0.000000000000000000e+00,1.574300438471064045e-01,0.000000000000000000e+00,1.574300438471063768e-01,0.000000000000000000e+00,1.574300438471064045e-01,0.000000000000000000e+00,1.574300438471064600e-01,0.000000000000000000e+00
4.166666709333333969e+08,2.615674253337735844e-01,0.000000000000000000e+00,1.575219498259701756e-01,0.000000000000000000e+00,1.575219498259702311e-01,0.000000000000000000e+00,1.575219498259701756e-01,0.000000000000000000e+00,1.575219498259702311e-01,0.000000000000000000e+00
5.000000051000000238e+08,2.613100626317643171e-01,0.000000000000000000e+00,1.576129413719086769e-01,0.000000000000000000e+00,1.576129413719086492e-01,0.000000000000000000e+00,1.576129413719086769e-01,0.000000000000000000e+00,1.576129413719086769e-01,0.000000000000000000e+00
5.833333392666667700e+08,2.610552607716151163e-01,0.000000000000000000e+00,1.577030274723600911e-01,0.000000000000000000e+00,1.577030274723600911e-01,0.000000000000000000e+00,1.577030274723600356e-01,0.000000000000000000e+00,1.577030274723600634e-01,0.000000000000000000e+00
6.666666734333333969e+08,2.608029942368791931e-01,0.000000000000000000e+00,1.577922171586431388e-01,0.000000000000000000e+00,1.577922171586431388e-01,0.000000000000000000e+00,1.577922171586431388e-01,0.000000000000000000e+00,1.577922171586431388e-01,0.000000000000000000e+00
7.500000076000000238e+08,2.605532377382928644e-01,0.000000000000000000e+00,1.578805193838900833e-01,0.000000000000000000e+00,1.578805193838900278e-01,0.000000000000000000e+00,1.578805193838900278e-01,0.000000000000000000e+00,1.578805193838900833e-01,0.000000000000000000e+00
8.333333417666667700e+08,2.603059663560006731e-01,0.000000000000000000e+00,1.579679428550543330e-01,0.000000000000000000e+00,1.579679428550543330e-01,0.000000000000000000e+00,1.579679428550543330e-01,0.000000000000000000e+00,1.579679428550544162e-01,0.000000000000000000e+00
9.166666759333333969e+08,2.600611553747066429e-01,0.000000000000000000e+00,1.580544968323446819e-01,0.000000000000000000e+00,1.580544968323446819e-01,0.000000000000000000e+00,1.580544968323446819e-01,0.000000000000000000e+00,1.580544968323447097e-01,0.000000000000000000e+00
1.000000010100000024e+09,2.598187803135785789e-01,0.000000000000000000e+00,1.581401891963586104e-01,0.000000000000000000e+00,1.581401891963586104e-01,0.000000000000000000e+00,1.581401891963586104e-01,0.000000000000000000e+00,1.581401891963586381e-01,0.000000000000000000e+00
1.083333344266666651e+09,2.595788168096257453e-01,0.000000000000000000e+00,1.582250288995561416e-01,0.000000000000000000e+00,1.582250288995561416e-01,0.000000000000000000e+00,1.582250288995561416e-01,0.000000000000000000e+00,1.582250288995561693e-01,0.000000000000000000e+00
1.166666678433333397e+09,2.593412412859006366e-01,0.000000000000000000e+00,1.583090248765514352e-01,0.000000000000000000e+00,1.583090248765514352e-01,0.000000000000000000e+00,1.583090248765514352e-01,0.000000000000000000e+00,1.583090248765514629e-01,0.000000000000000000e+00
1.250000012599999905e+09,2.591060295420059556e-01,0.000000000000000000e+00,1.583921846439494963e-01,0.000000000000000000e+00,1.583921846439494963e-01,0.000000000000000000e+00,1.583921846439494963e-01,0.000000000000000000e+00,1.583921846439494685e-01,0.000000000000000000e+00
1.333333346766666651e+09,2.588731581490094080e-01,0.000000000000000000e+00,1.584745169895457606e-01,0.000000000000000000e+00,1.584745169895457606e-01,0.000000000000000000e+00,1.584745169895457606e-01,0.000000000000000000e+00,1.584745169895458161e-01,0.000000000000000000e+00
1.416666680933333397e+09,2.586426038231085522e-01,0.000000000000000000e+00,1.585560306073385273e-01,0.000000000000000000e+00,1.585560306073385273e-01,0.000000000000000000e+00,1.585560306073385273e-01,0.000000000000000000e+00,1.585560306073384995e-01,0.000000000000000000e+00
1.500000015099999905e+09,2.584143435879645012e-01,0.000000000000000000e+00,1.586367324350453634e-01,0.000000000000000000e+00,1.586367324350453634e-01,0.000000000000000000e+00,1.586367324350453634e-01,0.000000000000000000e+00,1.586367324350453911e-01,0.000000000000000000e+00
