1.000000000000000056e-01,8.550044163952442988e-02,3.150667654052804394e-28,2.862871973275231685e-01,-1.412291438840524637e-28,2.301898205542208531e-01,-2.659488002033181054e-29,2.949027848283170550e-01,-1.259198599763659177e-29,6.220533029276281711e-02,-2.026251869286605279e-29,4.091442535765167643e-02,3.021559867472973959e-30
1.666676666666666642e+04,1.857019353130292538e-01,-5.439314948355933174e-19,1.857019353130293093e-01,-5.440580358729072749e-19,2.290796476939572224e-01,4.220198752541657665e-19,2.927254153206543807e-01,3.437830625216883680e-19,6.386542899772493231e-02,2.194244755569090630e-19,4.292563736151119858e-02,2.642185628182724395e-19
3.333343333333333430e+04,1.855119669020332263e-01,6.043080293154890856e-19,1.855119669020331985e-01,6.043876888701360082e-19,2.279878507572326851e-01,-2.483180793147592758e-19,2.905835287048858517e-01,-5.604241651533980288e-19,6.549949667636033313e-02,2.923711865593089731e-19,4.490519005664960622e-02,7.814773649698026018e-19
5.000009999999999854e+04,1.853238943411624207e-01,1.570162068162435744e-18,1.853238943411623929e-01,1.569611603214880429e-18,2.269146865638067834e-01,-1.021714282611625857e-18,2.884776002316445376e-01,-7.226645309036321364e-19,6.710722313672165540e-02,-1.718899731656011170e-19,4.685270138622085745e-02,-7.628850488862975655e-20
6.666676666666667734e+04,1.851376987082974379e-01,-3.855245231099584857e-21,1.851376987082974379e-01,-3.843043763407476194e-21,2.258598415124351833e-01,-2.836904474158111128e-19,2.864070304484409024e-01,-2.936752212458397593e-19,6.868903680212141982e-02,-8.546463121300563820e-20,4.876869382013242910e-02,2.231298086870771928e-19
8.333343333333334886e+04,1.849533612733291199e-01,2.986777866215489923e-18,1.849533612733294252e-01,2.986546955052574572e-18,2.248230072389273693e-01,-1.160769124976279159e-18,2.843712298560792662e-01,-1.482025579753744653e-19,7.024535908912016291e-02,-1.764559502234319443e-18,5.065368126973508051e-02,-1.536983337008266611e-18
1.000001000000000058e+05,1.847708634910912862e-01,-4.061127934613857469e-19,1.847708634910912029e-01,-4.056386527623009977e-19,2.238038805267490994e-01,1.677028860723578477e-19,2.823696187414445058e-01,-9.157719996498140964e-19,7.177660452223166843e-02,-1.564655448240979029e-18,5.250816922846784224e-02,-3.544241052888110305e-19
1.166667666666666773e+05,1.845901870011758539e-01,-2.150307733806849688e-19,1.845901870011757429e-01,-2.150081341824871080e-19,2.228021632227752957e-01,-1.152684603882719378e-18,2.804016270166135305e-01,-5.402054657119599135e-19,7.328318084718742076e-02,-7.523149439556239222e-19,5.433265490993517688e-02,4.333967389426157883e-19
1.333334333333333489e+05,1.844113136305197131e-01,-2.387872739854941415e-18,1.844113136305197687e-01,-2.387868730196952431e-18,2.218175621515607043e-01,-1.324400224171410842e-18,2.784666940585842632e-01,2.975861063385470493e-19,7.476548914215647157e-02,-9.000055246527409122e-19,5.612762738431924248e-02,-1.180614120455687927e-18
1.500001000000000058e+05,1.842342253826283471e-01,2.200048467184863585e-18,1.842342253826284859e-01,2.199761431440686477e-18,2.208497890384527040e-01,-1.393152581276139645e-18,2.765642685566369607e-01,7.349884687440906061e-19,7.622392392757670887e-02,-8.897734571662080366e-21,5.789356771169670846e-02,-7.174259711484637093e-19
1.666667666666666919e+05,1.840589044425791909e-01,-1.993901102587165790e-18,1.840589044425792742e-01,-1.994177811238625950e-18,2.198985604187335963e-01,2.281770504319228601e-18,2.746938083508670969e-01,5.592465429190746585e-19,7.765887327278318819e-02,1.418162553267252441e-18,5.963094907391629229e-02,2.127990778396229024e-19
1.833334333333333489e+05,1.838853331692543724e-01,1.609985182696693272e-18,1.838853331692544280e-01,1.609469726528307277e-18,2.189635975639049881e-01,-1.928836945111526732e-18,2.728547802857018700e-01,4.279708346098793440e-18,7.907071890260918001e-02,-2.221013009071702402e-19,6.134023690365077858e-02,-4.165857653794444168e-18
