1.000000000000000056e-01,8.550050840549522357e-02,2.112412460528310058e-28,2.862871305614756445e-01,-1.060437578488318293e-28,2.301898205540941211e-01,-5.769649114249457268e-30,2.949027848280613151e-01,2.116788437498984785e-31,6.220533029297119210e-02,-2.501180227790448236e-29,4.091442535790253132e-02,1.479244089503998594e-29
8.333333426666666567e+07,1.857011350324623833e-01,9.429178258004285084e-16,1.857011350324621335e-01,9.429106507160664512e-16,1.571494323995049625e-01,-3.582479151372223330e-14,1.571494323994759301e-01,-3.476235465094050411e-14,1.571494323994439279e-01,-3.462252714440090144e-14,1.571494323994584441e-01,-3.364983241136615317e-14
1.666666684333333373e+08,1.855106098139427118e-01,1.036014141137940307e-14,1.855106098139428505e-01,1.036013531159860652e-14,1.572446953476924481e-01,-2.611216075345666793e-13,1.572446953476381859e-01,-2.598471310912795788e-13,1.572446953476139830e-01,-2.606884884713389559e-13,1.572446953476236975e-01,-2.613638338852470804e-13
2.500000025999999940e+08,1.853219915747268964e-01,-2.299545161120389312e-15,1.853219915747267854e-01,-2.299548017825007563e-15,1.573390044749638506e-01,-1.022016349406671570e-13,1.573390044750203609e-01,-1.020995300105196664e-13,1.573390044750268002e-01,-1.022857740605400786e-13,1.573390044750024030e-01,-1.023031796791284274e-13
3.333333367666667104e+08,1.851352580609560705e-01,-5.133571938876777204e-15,1.851352580609560705e-01,-5.133577667403709383e-15,1.574323699534962984e-01,-3.537154820126149329e-13,1.574323699534926624e-01,-3.543061175728965559e-13,1.574323699534589394e-01,-3.551588423302089124e-13,1.574323699534096455e-01,-3.538823984122415814e-13
4.166666709333333969e+08,1.849503955105062381e-01,-8.186145517210039508e-15,1.849503955105063213e-01,-8.186147807929371378e-15,1.575248018581028864e-01,1.791014337000284297e-13,1.575248018579886722e-01,1.790181324534687388e-13,1.575248018578742082e-01,1.783014933958067159e-13,1.575248018576783371e-01,1.772600009885388861e-13
5.000000051000000238e+08,1.847673894876192824e-01,-8.857070467177992191e-15,1.847673894876192269e-01,-8.857067982807987213e-15,1.576163059902377095e-01,-3.632275453311983055e-13,1.576163059903258890e-01,-3.643909692151214563e-13,1.576163059903838148e-01,-3.636428791063669968e-13,1.576163059904349129e-01,-3.637146516653937976e-13
5.833333392666667700e+08,1.845862080886468692e-01,1.904640574056845176e-14,1.845862080886469525e-01,1.904640596543458439e-14,1.577068960428071043e-01,1.062084143624179763e-13,1.577068960428031075e-01,1.067201967264528580e-13,1.577068960428265609e-01,1.059285307586870726e-13,1.577068960427849276e-01,1.064962048114263559e-13
6.666666734333333969e+08,1.844068381208948670e-01,4.066160886818214526e-14,1.844068381208946450e-01,4.066161262460917266e-14,1.577965792017154145e-01,1.366227824434516010e-13,1.577965792017398949e-01,1.359695271034276828e-13,1.577965792016858548e-01,1.354051435632339109e-13,1.577965792017060886e-01,1.350704384794133483e-13
7.500000076000000238e+08,1.842292706686474990e-01,2.850175547983131425e-14,1.842292706686474990e-01,2.850175492326470838e-14,1.578853645336775746e-01,5.153238270790694529e-13,1.578853645337109646e-01,5.141277579907649139e-13,1.578853645336295575e-01,5.144666310691330030e-13,1.578853645335945854e-01,5.135461326516892096e-13
