1.000000000000000056e-01,2.388126920586815527e-01,0.000000000000000000e+00,7.373345127611484473e-02,0.000000000000000000e+00,2.717655272690153168e-01,0.000000000000000000e+00,2.862274779595101459e-01,0.000000000000000000e+00
8.333333426666666567e+07,1.570634053026830901e-01,0.000000000000000000e+00,1.570634053026830901e-01,0.000000000000000000e+00,2.778788020734570541e-01,0.000000000000000000e+00,2.778788020734570541e-01,0.000000000000000000e+00
1.666666684333333373e+08,1.578458749669180428e-01,0.000000000000000000e+00,1.578458749669180428e-01,0.000000000000000000e+00,2.767722228323989953e-01,0.000000000000000000e+00,2.767722228323989953e-01,0.000000000000000000e+00
2.500000025999999940e+08,1.586205589707066488e-01,0.000000000000000000e+00,1.586205589707066210e-01,0.000000000000000000e+00,2.756766542370078232e-01,0.000000000000000000e+00,2.756766542370078232e-01,0.000000000000000000e+00
3.333333367666667104e+08,1.593875346917031643e-01,0.000000000000000000e+00,1.593875346917031643e-01,0.000000000000000000e+00,2.745919867389917668e-01,0.000000000000000000e+00,2.745919867389918223e-01,0.000000000000000000e+00
4.166666709333333969e+08,1.601468789122928171e-01,0.000000000000000000e+00,1.601468789122927894e-01,0.000000000000000000e+00,2.735181118924597810e-01,0.000000000000000000e+00,2.735181118924598365e-01,0.000000000000000000e+00
5.000000051000000238e+08,1.608986675229238938e-01,0.000000000000000000e+00,1.608986675229239216e-01,0.000000000000000000e+00,2.724549222001081406e-01,0.000000000000000000e+00,2.724549222001081406e-01,0.000000000000000000e+00
5.833333392666667700e+08,1.616429756846575194e-01,0.000000000000000000e+00,1.616429756846575472e-01,0.000000000000000000e+00,2.714023115677148823e-01,0.000000000000000000e+00,2.714023115677148823e-01,0.000000000000000000e+00
6.666666734333333969e+08,1.623798778906827556e-01,0.000000000000000000e+00,1.623798778906827556e-01,0.000000000000000000e+00,2.703601745044544868e-01,0.000000000000000000e+00,2.703601745044545424e-01,0.000000000000000000e+00
7.500000076000000238e+08,1.631094477553517719e-01,0.000000000000000000e+00,1.631094477553517996e-01,0.000000000000000000e+00,2.693284068399376951e-01,0.000000000000000000e+00,2.693284068399376396e-01,0.000000000000000000e+00
8.333333417666667700e+08,1.638317583009483713e-01,0.000000000000000000e+00,1.638317583009483713e-01,0.000000000000000000e+00,2.683069054703145495e-01,0.000000000000000000e+00,2.683069054703144385e-01,0.000000000000000000e+00
9.166666759333333969e+08,1.645468817981221576e-01,0.000000000000000000e+00,1.645468817981221854e-01,0.000000000000000000e+00,2.672955681201100719e-01,0.000000000000000000e+00,2.672955681201100164e-01,0.000000000000000000e+00
1.000000010100000024e+09,1.652548896855798310e-01,0.000000000000000000e+00,1.652548896855798588e-01,0.000000000000000000e+00,2.662942937392562825e-01,0.000000000000000000e+00,2.662942937392561715e-01,0.000000000000000000e+00
1.083333344266666651e+09,1.659558525517749739e-01,0.000000000000000000e+00,1.659558525517750294e-01,0.000000000000000000e+00,2.653029823524567510e-01,0.000000000000000000e+00,2.653029823524566955e-01,0.000000000000000000e+00
1.166666678433333397e+09,1.666498407831773498e-01,0.000000000000000000e+00,1.666498407831772943e-01,0.000000000000000000e+00,2.643215346946055089e-01,0.000000000000000000e+00,2.643215346946055089e-01,0.000000000000000000e+00
1.250000012599999905e+09,1.673369239549870047e-01,0.000000000000000000e+00,1.673369239549870047e-01,0.000000000000000000e+00,2.633498524662110096e-01,0.000000000000000000e+00,2.633498524662110096e-01,0.000000000000000000e+00
1.333333346766666651e+09,1.680171705368473933e-01,0.000000000000000000e+00,1.680171705368473933e-01,0.000000000000000000e+00,2.623878387386390232e-01,0.000000000000000000e+00,2.623878387386389122e-01,0.000000000000000000e+00
1.416666680933333397e+09,1.686906484283443586e-01,0.000000000000000000e+00,1.686906484283443586e-01,0.000000000000000000e+00,2.614353971643627594e-01,0.000000000000000000e+00,2.614353971643627039e-01,0.000000000000000000e+00
1.500000015099999905e+09,1.693574250777364343e-01,0.000000000000000000e+00,1.693574250777364343e-01,0.000000000000000000e+00,2.604924322964312089e-01,0.000000000000000000e+00,2.604924322964312089e-01,0.000000000000000000e+00
1.583333349266666651e+09,1.700175671324867244e-01,0.000000000000000000e+00,1.700175671324867244e-01,0.000000000000000000e+00,2.595588505013908254e-01,0.000000000000000000e+00,2.595588505013909364e-01,0.000000000000000000e+00
1.666666683433333397e+09,1.706711408384488093e-01,0.000000000000000000e+00,1.706711408384488093e-01,0.000000000000000000e+00,2.586345578253969046e-01,0.000000000000000000e+00,2.586345578253969046e-01,0.000000000000000000e+00
1.750000017599999905e+09,1.713182111927969153e-01,0.000000000000000000e+00,1.713182111927969431e-01,0.000000000000000000e+00,2.577194621235990857e-01,0.000000000000000000e+00,2.577194621235990857e-01,0.000000000000000000e+00
1.833333351766666651e+09,1.719588432482194174e-01,0.000000000000000000e+00,1.719588432482194174e-01,0.000000000000000000e+00,2.568134715556916747e-01,0.000000000000000000e+00,2.568134715556916747e-01,0.000000000000000000e+00
1.916666685933333397e+09,1.725931009237529901e-01,0.000000000000000000e+00,1.725931009237529901e-01,0.000000000000000000e+00,2.559164957012990405e-01,0.000000000000000000e+00,2.559164957012990405e-01,0.000000000000000000e+00
2.000000020099999905e+09,1.732210474510882670e-01,0.000000000000000000e+00,1.732210474510882947e-01,0.000000000000000000e+00,2.550284450979352080e-01,0.000000000000000000e+00,2.550284450979351525e-01,0.000000000000000000e+00
2.083333354266666651e+09,1.738427459716459511e-01,0.000000000000000000e+00,1.738427459716460066e-01,0.000000000000000000e+00,2.541492310064901172e-01,0.000000000000000000e+00,2.541492310064901172e-01,0.000000000000000000e+00
2.166666688433333397e+09,1.744582581843596714e-01,0.000000000000000000e+00,1.744582581843596714e-01,0.000000000000000000e+00,2.532787647714665469e-01,0.000000000000000000e+00,2.532787647714664914e-01,0.000000000000000000e+00
2.250000022599999905e+09,1.750676463777327552e-01,0.000000000000000000e+00,1.750676463777327552e-01,0.000000000000000000e+00,2.524169596280190220e-01,0.000000000000000000e+00,2.524169596280190775e-01,0.000000000000000000e+00
2.333333356766666889e+09,1.756709709683823561e-01,0.000000000000000000e+00,1.756709709683823561e-01,0.000000000000000000e+00,2.515637303596692242e-01,0.000000000000000000e+00,2.515637303596692242e-01,0.000000000000000000e+00
2.416666690933333397e+09,1.762682922521874307e-01,0.000000000000000000e+00,1.762682922521874307e-01,0.000000000000000000e+00,2.507189905769924287e-01,0.000000000000000000e+00,2.507189905769924287e-01,0.000000000000000000e+00
